filename	sweetNumber	sweetList
38BD89CFDDEFD7E520170527A957DD6D1CAED4205739BFBECBBCC82566A37FB1	18	"[""index"", ""search"", ""selection"", ""do"", ""federal"", ""criteria"", ""system"", ""community"", ""standard"", ""content"", ""range"", ""minimum"", ""map"", ""location"", ""offset"", ""policy"", ""navigation"", ""deposit""]"
295E95A4114BF3E214D4D51491E04BA3C142DF3CB76AF601049F9E92A10A73FC	25	"[""do"", ""human"", ""technology"", ""management"", ""power"", ""service"", ""biochemistry"", ""top"", ""research"", ""current"", ""hill"", ""policy"", ""map"", ""product"", ""transportation"", ""degree"", ""free"", ""fall"", ""building"", ""car"", ""work"", ""project"", ""time"", ""pdf"", ""chemistry""]"
E98592CB1EEBA65B351DBDF4EE2666D2DC43C3380F93AC3497276AC07B64F3FF	33	"[""subset"", ""set"", ""feedback"", ""process"", ""sample"", ""fold"", ""file"", ""impact"", ""conversion"", ""management"", ""network"", ""service"", ""research"", ""access"", ""extraction"", ""policy"", ""evaluation"", ""transformation"", ""classify"", ""metadata"", ""product"", ""certificate"", ""format"", ""training"", ""data"", ""structure"", ""search"", ""name"", ""plain"", ""work"", ""lead"", ""project"", ""time""]"
97F93908FB9D0F1CEF9CB70C2B5C41D4AEA9B7C572D4E2E7D60B2ED03F44619D	5	"[""function"", ""window"", ""version"", ""return"", ""internet""]"
5602EE159A12AE0A74AE882A37CA1F1099D90D0337D4A5C3B82E42F91C7B2F0B	10	"[""boulder"", ""access"", ""search"", ""map"", ""research"", ""current"", ""phone"", ""engineering"", ""content"", ""enrichment""]"
D4B1FC6FAD5CF2321856B7A72C9EA7FE94A1AAE75F31A8996B70E2E752DC02FA	68	"[""development"", ""ecology"", ""version"", ""process"", ""fish"", ""plant"", ""surface"", ""county"", ""engineering"", ""arachnid"", ""result"", ""human"", ""insulation"", ""ring"", ""technology"", ""archive"", ""cell"", ""network"", ""space"", ""electricity"", ""quality"", ""top"", ""complex"", ""ice"", ""research"", ""environment"", ""thermal"", ""production"", ""health"", ""animal"", ""internet"", ""policy"", ""type"", ""energy"", ""day"", ""3d"", ""body"", ""biology"", ""consumer"", ""food"", ""stable"", ""molecule"", ""search"", ""bacteria"", ""ion"", ""step"", ""profile"", ""key"", ""spin"", ""potential"", ""evolution"", ""chemistry"", ""physics"", ""age"", ""economics"", ""metal"", ""aircraft"", ""air"", ""planet"", ""biochemistry"", ""chemical"", ""exploration"", ""science"", ""sustainable"", ""increase"", ""optics"", ""order"", ""pollution""]"
27946996EDE6408433D082ED3B77F1F9B6CB8D8EC15FEB02FCC73E259C44EE66	10	"[""development"", ""content"", ""search"", ""publication"", ""copyright"", ""research"", ""environment"", ""range"", ""health"", ""navigation""]"
26C84BE51EC86A3307FA96DDD393665F5467672F59A2F27F1C7B1E78492F652D	75	"[""body"", ""set"", ""opacity"", ""point"", ""attribute"", ""prefix"", ""radio"", ""pass"", ""array"", ""element"", ""speed"", ""event"", ""native"", ""normalize"", ""index"", ""container"", ""copyright"", ""space"", ""verify"", ""top"", ""format"", ""window"", ""node"", ""removal"", ""current"", ""state"", ""version"", ""location"", ""internet"", ""input"", ""boundary"", ""type"", ""metadata"", ""function"", ""map"", ""accessing"", ""return"", ""do"", ""normal"", ""fire"", ""time"", ""collection"", ""standard"", ""break"", ""flash"", ""base"", ""key"", ""fall"", ""path"", ""data"", ""throw"", ""change"", ""name"", ""count"", ""incoming"", ""consumption"", ""plain"", ""fetch"", ""work"", ""well"", ""value"", ""local"", ""filter"", ""length"", ""delay"", ""mode"", ""behavior"", ""doc"", ""release"", ""margin"", ""model"", ""property"", ""root"", ""order"", ""loop""]"
5E39AEF9028CC3275D294701121E25605730BFF15271BC755AC0A5E6F1245171	13	"[""search"", ""revolution"", ""feedback"", ""copyright"", ""area"", ""work"", ""cover"", ""collection"", ""research"", ""current"", ""minimum"", ""sampling"", ""archive""]"
FE9C5DE335E221E8C377BD70A3BEB6EF18D1AC8349D8CD2EC851E887E18C3202	153	"[""atmosphere"", ""set"", ""radar"", ""shape"", ""relation"", ""human"", ""stratiform"", ""scattering"", ""ground"", ""polarization"", ""ratio"", ""environment"", ""spread"", ""parabolic"", ""elevation"", ""civilian"", ""rise"", ""freezing"", ""evolution"", ""choice"", ""fall"", ""turbulence"", ""rotation"", ""difference"", ""precipitation"", ""transmitter"", ""level"", ""signal"", ""drop"", ""vortex"", ""radial"", ""output"", ""troposphere"", ""square"", ""force"", ""energy"", ""phenomena"", ""prediction"", ""hail"", ""maximum"", ""rate"", ""frequency"", ""measure"", ""duration"", ""wavelength"", ""air"", ""drizzle"", ""index"", ""scale"", ""network"", ""lead"", ""cavity"", ""speed"", ""tube"", ""ice"", ""research"", ""increase"", ""state"", ""variability"", ""noise"", ""vertical"", ""component"", ""free"", ""standard"", ""aircraft"", ""variation"", ""path"", ""estimate"", ""change"", ""search"", ""reverse"", ""shift"", ""filter"", ""propagation"", ""length"", ""receiver"", ""military"", ""point"", ""image"", ""height"", ""weather"", ""array"", ""cloud"", ""size"", ""city"", ""temperature"", ""service"", ""area"", ""reflectivity"", ""sampling"", ""station"", ""basic"", ""cycle"", ""type"", ""direction"", ""curvature"", ""volume"", ""construction"", ""aviation"", ""ha"", ""center"", ""logarithm"", ""distance"", ""science"", ""equation"", ""work"", ""intensity"", ""dew"", ""project"", ""history"", ""constant"", ""process"", ""surface"", ""collision"", ""engineering"", ""cone"", ""azimuth"", ""return"", ""rainwater"", ""technology"", ""normalize"", ""motion"", ""strength"", ""angle"", ""antenna"", ""radiation"", ""range"", ""power"", ""potential"", ""interpolation"", ""attenuation"", ""cubic"", ""tornado"", ""refraction"", ""thunderstorm"", ""rain"", ""echo"", ""position"", ""horizontal"", ""wave"", ""data"", ""structure"", ""destruction"", ""observation"", ""scenario"", ""well"", ""analysis"", ""depth"", ""time"", ""velocity"", ""resolution"", ""order"", ""wind""]"
